source_id,identifier,title,authors,journal_or_office,publication_date,source_file_name,source_type
SRC_0001,177-654-556-260-062,Engineered human-derived kunitz domains that inhibit human neutrophil elastase,,US,1997-09-02,177-654-556-260-062.txt,Patent
SRC_0002,P00982,,Joubert F.J.,Hoppe-Seyler's Z. Physiol. Chem.,1980,UniProt,UniProt
SRC_0003,P83257,,Corzo G.,Eur. J. Biochem.,2000,UniProt,UniProt
SRC_0004,P0CY66,,Hu H.,BMC Genomics,2011,UniProt,UniProt
SRC_0005,WO2008077478,PREPARATION AND USE OF VARIANTS OF THE KUNITZ DOMAIN 2 OF THE HUMAN PLACENTAL BIKUNIN GENE,,WO,2008-07-03,159-618-564-650-30X.txt,Patent
SRC_0006,10.1021/acs.biochem.5b00872,Studies on the Chitin-Binding Property of Novel Cysteine-Rich Peptides from Alternanthera sessilis,"Shruthi Gopalkrishna Kini, Phuong Quoc Thuc Nguyen, Sophie Weissbach, Alvaro Mallagaray, Joon Shin, Ho Sup Yoon, and James P. Tam",Biochemistry,14 Oct 2015,Kini 等 - 2015 - Studies on the chitin binding property of novel cysteine-rich peptides from alternanthera sessilis.pdf,Literature
SRC_0007,WO2016022800,CHARACTERIZATION OF CYSTINE KNOT SUPERFAMILY PROTEINS,,WO,2016-02-11,188-454-904-577-369.txt,Patent
SRC_0008,P82228,,Wang X.-H.,Nat. Struct. Biol.,2000,UniProt,UniProt
SRC_0009,WO2005118628,NUCLEIC ACID MOLECULES ENCODING CYCLOTIDE POLYPEPTIDES AND METHODS OF USE,,WO,2005-12-15,021-553-581-851-761.txt,Patent
SRC_0010,B3EWH0,,Kabanova N.V.,Biochim. Biophys. Acta,2012,UniProt,UniProt
SRC_0011,2023285591,LIPOSOMES CONTAINING SYNERGISTIC ANTIMICROBIAL COMPOSITIONS BASED ON SELECTED PEPTIDES AND FATTY ACIDS,,WO,2023-01-19,164-308-824-249-780.txt,Patent
SRC_0012,20120231000,TRUNCATED CYSTINE-KNOT PROTEINS,,US,2012-09-13,057-760-329-909-755.txt,Patent
SRC_0013,4GN3_2,,"Steemson, J.D., Baake, M., Rakonjac, J., Arcus, V.L., Liddament, M.T.",Tracking Molecular Recognition at the Atomic Level with a New Protein Scaffold Based on the OB-Fold.,2014,PDB,PDB
SRC_0014,8AJ7_1,,"Morais, K.L.P., Ciccone, L., Stura, E., Alvarez-Flores, M.P., Mourier, G., Driessche, M.V., Sciani, J.M., Iqbal, A., Kalil, S.P., Pereira, G.J., Marques-Porto, R., Cunegundes, P., Juliano, L., Servent, D., Chudzinski-Tavassi, A.M.",Structural and functional properties of the Kunitz-type and C-terminal domains of Amblyomin-X supporting its antitumor activity.,2023,PDB,PDB
SRC_0015,5ML9_2,,"Robinson, J.I., Baxter, E.W., Owen, R.L., Thomsen, M., Tomlinson, D.C., Waterhouse, M.P., Win, S.J., Nettleship, J.E., Tiede, C., Foster, R.J., Owens, R.J., Fishwick, C.W.G., Harris, S.A., Goldman, A., McPherson, M.J., Morgan, A.W.",Affimer proteins inhibit immune complex binding to Fc gamma RIIIa with high specificity through competitive and allosteric modes of action.,2018,PDB,PDB
SRC_0016,1ZDB_1,,"Starovasnik, M.A., Braisted, A.C., Wells, J.A.",Structural mimicry of a native protein by a minimized binding domain.,1997.0,PDB,PDB
SRC_0017,5677146,Human amyloid protein precursor homolog and kunitz-type inhibitor,,US,1997-10-14,015-196-960-855-471.txt,Patent
SRC_0018,US5436153,Human amyloid protein precursor homolog and Kunitz-type inhibitor,,US,1995-07-25,057-739-687-650-978.txt,Patent
SRC_0019,10.1021/acs.biochem.5b00617,"Histone Peptide Recognition By KDM5B-PHD1, A Case Study","Suvobrata Chakravarty, Francisca Essel, Tao Lin, and Stad Zeigler",Biochemistry,12 Aug 2015,Chakravarty 等 - 2015 - Histone Peptide Recognition by KDM5B-PHD1 A Case Study.pdf,Literature
SRC_0020,4GN4_1,,"Steemson, J.D., Baake, M., Rakonjac, J., Arcus, V.L., Liddament, M.T.",Tracking Molecular Recognition at the Atomic Level with a New Protein Scaffold Based on the OB-Fold.,2014,PDB,PDB
SRC_0021,5696088,Chimeric proteins,,US,1997-12-09,055-789-819-229-759.txt,Patent
SRC_0022,P01478,,Sheumack D.D.,FEBS Lett.,1985,UniProt,UniProt
SRC_0023,5696088,Chimeric proteins,,US,1997-12-09,055-789-819-229-759.txt,Patent
SRC_0024,1ZA8_1,,"Chen, B., Colgrave, M.L., Daly, N.L., Rosengren, K.J., Gustafson, K.R., Craik, D.J.","Isolation and characterization of novel cyclotides from Viola hederaceae: solution structure and anti-HIV activity of vhl-1, a leaf-specific expressed cyclotide.",2005.0,PDB,PDB
SRC_0025,1YP8_1,,"Mulvenna, J.P., Sando, L., Craik, D.J.",Processing of a 22 kDa precursor protein to produce the circular protein tricyclon A.,2005.0,PDB,PDB
SRC_0026,20040175756,Methods for using combinatorial libraries of monomer domains,,US,2004-09-09,112-538-680-276-399.txt,Patent
SRC_0027,20050048512,Combinatorial libraries of monomer domains,,US,2005-03-03,000-732-209-723-095.txt,Patent
SRC_0028,WO2010090523,TRUNCATED CYSTINE-KNOT PROTEINS,,WO,2010-08-12,124-729-961-304-429.txt,Patent
SRC_0029,1Q3J_1,,"Barbault, F., Landon, C., Guenneugues, M., Meyer, J.P., Schott, V., Dimarcq, J.L., Vovelle, F.",Solution structure of Alo-3: a new knottin-type antifungal peptide from the insect Acrocinus longimanus.,2003.0,PDB,PDB
SRC_0030,2ML7_1,,"Wang, S., Nguyen, K., Luo, S., Tam, J., Yang, D.","Ginsentides: Characterization, Structure and Application of a New Class of Highly Stable Cystine Knot Peptides in Ginseng",,PDB,PDB
SRC_0031,10.1074/jbc.M117.815142,Engineering a potent inhibitor of matriptase from the natural hepatocyte growth factor activator inhibitor type-1 (HAI-1) protein,"Aaron C. Mitchell, Deepti Kannan, Sean A. Hunter, R. Andres Parra Sperberg, Cheryl H. Chang, and Jennifer R. Cochran",J. Biol. Chem.,2018,Mitchell 等 - 2018 - Engineering a potent inhibitor of matriptase from the natural hepatocyte growth factor activator inh.pdf,Literature
SRC_0032,5696088,Chimeric proteins,,US,1997-12-09,055-789-819-229-759.txt,Patent
SRC_0033,20050164301,LDL receptor class A and EGF domain monomers and multimers,,US,2005-07-28,138-084-521-309-077.txt,Patent
SRC_0034,US 5563123,Chimeric proteins,,US,1996-10-08,015-996-154-556-886.txt,Patent
SRC_0035,P49268,,Skinner W.S.,Toxicon,1992,UniProt,UniProt
SRC_0036,US20030100070,Kunitz domain polypeptide Zkun11,,US,2003-05-29,097-229-990-026-378.txt,Patent
SRC_0037,10.1021/acschembio.1c00388,An Integrated Molecular Grafting Approach for the Design of Keap1-Targeted Peptide Inhibitors,"Huawu Yin, Yen-Hua Huang, Sarah A. Best, Kate D. Sutherland, David J. Craik, and Conan K. Wang",ACS Chem. Biol.,2021,Yin 等 - 2021 - An integrated molecular grafting approach for the design of Keap1-targeted peptide inhibitors.pdf,Literature
SRC_0038,2015181393,NOVEL SFTI AND CYCLOTIDE BASED PEPTIDES,,WO,2015-12-03,034-545-292-448-118.txt,Patent
SRC_0039,10.1021/acs.analchem.7b00554,"High-Affinity RGD-Knottin Peptide as a New Tool for Rapid Evaluation of the Binding Strength of Unlabeled RGD-Peptides to αvβ3, αvβ5, and α5β1 Integrin Receptors","Dominik Bernhagen, Laura De Laporte, and Peter Timmerman",Analytical Chemistry,"May 11, 2017",Bernhagen 等 - 2017 - High-affinity RGD-knottin peptide as a new tool for rapid evaluation of the binding strength of unla.pdf,Literature
SRC_0040,,,,,,ExternalAPI,Literature
SRC_0041,WO2010090523,TRUNCATED CYSTINE-KNOT PROTEINS,,WO,2010-08-12,124-729-961-304-429.txt,Patent
SRC_0042,US5589359,Chimeric proteins,,US,1996-12-31,065-304-266-883-359.txt,Patent
SRC_0043,5696088,Chimeric proteins,,US,1997-12-09,055-789-819-229-759.txt,Patent
SRC_0044,20090036647,"BITORAN WHICH IS TRYPSIN-INHIBITOR-LIKE PROTEIN DERIVED FROM BITIS ARIETANS VENOM, AND USE THEREOF AS BLOOD COAGULATION FACTOR Xa INHIBITOR",,US,2009-02-05,175-525-134-542-920.txt,Patent
SRC_0045,2020237078,DRUG CONJUGATES AND METHODS OF USING SAME,,WO,2020-11-26,073-486-714-763-415.txt,Patent
SRC_0046,US 5563123,Chimeric proteins,,US,1996-10-08,015-996-154-556-886.txt,Patent
SRC_0047,8415291,"Anti-TNF alpha fibronectin type III domain based scaffold compositions, methods and uses",,US,2013-04-09,181-655-656-741-313.txt,Patent
SRC_0048,WO2010051274,"FIBRONECTIN TYPE III DOMAIN BASED SCAFFOLD COMPOSITIONS, METHODS AND USES",,WO,2010-05-06,107-079-759-456-092.txt,Patent
SRC_0049,P0DL72,,Murray J.K.,J. Med. Chem.,2015,UniProt,UniProt
SRC_0050,P84507,,Bosmans F.,Mol. Pharmacol.,2006,UniProt,UniProt
SRC_0051,P84508,,Bosmans F.,Mol. Pharmacol.,2006,UniProt,UniProt
SRC_0052,P0DRJ2,,Dongol Y.,Front. Pharmacol.,2021,UniProt,UniProt
SRC_0053,P60513,,Barbier J.,J. Biol. Chem.,2004,UniProt,UniProt
SRC_0054,P0CC13,,Favreau P.,,1999,UniProt,UniProt
SRC_0055,5618915,Aprotinin analogs,,US,1997-04-08,186-207-255-566-078.txt,Patent
SRC_0056,5621074,Aprotinin analogs,,US,1997-04-15,153-389-246-102-696.txt,Patent
SRC_0057,5591603,Process for preparing aprotinin and aprotinin analogs in yeast cells,,US,1997-01-07,129-401-482-070-891.txt,Patent
SRC_0058,WO1989001968,APROTININ HOMOLOGUES AND PROCESS FOR THE PRODUCTION OF APROTININ AND APROTININ HOMOLOGUES IN YEAST,,WO,1989-03-09,193-038-820-911-663.txt,Patent
SRC_0059,5618915,Aprotinin analogs,,US,1997-04-08,186-207-255-566-078.txt,Patent
SRC_0060,10.1021/bi3006972,Multivalent recognition of histone tails by the PHD-fingers of CHD5,"Samuel S. Oliver, Catherine A. Musselman, Rajini Srinivasan, John P. Svaren, Tatiana G. Kutateladze, and John M. Denu",Biochemistry,2012 August 21,Oliver 等 - 2012 - Multivalent recognition of histone tails by the PHD fingers of CHD5.pdf,Literature
